Year,BookCount,Population_interp,Books_per_million
1790,28,3929214.0,7.126107155273294
1791,18,4067140.9,4.42571340471632
1792,19,4205067.8,4.518357587480516
1793,26,4342994.7,5.986652481984378
1794,43,4480921.6,9.596240202015586
1795,64,4618848.5,13.856267422497188
1796,59,4756775.4,12.403360478192852
1797,63,4894702.3,12.871058572857434
1798,49,5032629.2,9.736461410667808
1799,53,5170556.1,10.250348120195428
1800,50,5308483.0,9.418886713963293
1801,13,5501622.8,2.362939167694303
1802,16,5694762.6,2.8095991218316985
1803,8,5887902.4,1.3587181744045211
1804,15,6081042.2,2.466682438086024
1805,10,6274182.0,1.5938332678267861
1806,4,6467321.8,0.6184940418458843
1807,14,6660461.6,2.101956416954645
1808,18,6853601.4,2.6263564145997753
1809,28,7046741.2,3.9734679059875218
1810,104,7239881.0,14.36487699176271
1811,110,7479738.2,14.706397076838865
1812,157,7719595.4,20.337853457967498
1813,130,7959452.6,16.332781477962442
1814,102,8199309.8,12.44007148016288
1815,111,8439167.0,13.152956920985211
1816,117,8679024.2,13.480778173196017
1817,112,8918881.4,12.55762858333333
1818,207,9158738.6,22.60136565094237
1819,178,9398595.8,18.93899937690692
1820,144,9638453.0,14.940156890322545
1821,120,9960677.9,12.04737279979709
1822,226,10282902.8,21.978229727115576
1823,195,10605127.7,18.38733163015095
1824,195,10927352.6,17.84512746481705
1825,185,11249577.5,16.4450620478858
1826,226,11571802.4,19.530233250439878
1827,214,11894027.3,17.99222371046685
1828,249,12216252.2,20.382683324104917
1829,227,12538477.1,18.104272009237867
1830,358,12860702.0,27.836738616601178
1831,328,13280967.1,24.69699665169715
1832,601,13701232.2,43.864667880017386
1833,584,14121497.3,41.35538800124261
1834,564,14541762.4,38.78484495111817
1835,364,14962027.5,24.328253640758245
1836,448,15382292.6,29.124397230618275
1837,484,15802557.7,30.627953347071152
1838,539,16222822.8,33.22479735154353
1839,346,16643087.9,20.789411320720117
1840,688,17063353.0,40.32032860130128
1841,481,17676205.3,27.211722869048142
1842,716,18289057.6,39.149092077877214
1843,830,18901909.9,43.91090659044989
1844,1079,19514762.2,55.29147570140517
1845,1595,20127614.5,79.24436350865126
1846,1259,20740466.8,60.70258746538916
1847,1339,21353319.1,62.706879138054
1848,1336,21966171.4,60.820794651543146
1849,1239,22579023.7,54.87394036439228
1850,761,23191876.0,32.81321442042895
1851,1460,24017020.5,60.79022166800416
1852,1914,24842165.0,77.04642489895707
1853,2040,25667309.5,79.47852890463646
1854,2034,26492454.0,76.77657947429105
1855,2444,27317598.5,89.46613663715718
1856,2336,28142743.0,83.00541279860319
1857,2321,28967887.5,80.12320539424906
1858,2169,29793032.0,72.80225792393335
1859,2750,30618176.5,89.8159300897622
1860,4916,31443321.0,156.34480848889976
1861,1991,32154826.0,61.91916572647602
1862,1865,32866331.0,56.745001442357534
1863,3783,33577836.0,112.66360345556515
1864,2736,34289341.0,79.79155971530628
1865,2632,35000846.0,75.19818235250656
1866,3082,35712351.0,86.30067508017045
1867,3198,36423856.0,87.79960034983667
1868,3950,37135361.0,106.36762087757812
