stateicp,countyicp,totpop_1850,urb850_1850,urb25_1850,colleges_1850,pubsch_1850,totillit_1850,schlib_1850,log_copyright
41,10,15023,0,0,0,30,518,0,.4054651
41,30,4414,0,0,0,5,104,0,0
41,50,23632,0,0,0,18,633,0,0
41,70,9969,0,0,0,20,1160,0,0
41,90,7367,0,0,0,20,1257,0,.28768209
41,110,,,,,,,,
41,130,10836,0,0,0,3,667,0,.28768209
,,,,,,,,,
41,170,23960,0,0,1,44,739,0,1.1631508
41,190,13884,0,0,0,83,1215,0,0
41,230,8389,0,0,0,28,389,0,0
41,250,9786,0,0,0,29,602,0,0
41,270,,,,,,,,
41,290,,,,,,,,
41,310,5940,0,0,0,17,666,0,0
41,350,9322,0,0,0,20,299,0,.78845733
41,370,14543,0,0,0,19,766,0,0
41,390,3645,0,0,0,7,618,0,0
41,410,,,,,,,,
41,430,,,,,,,,
41,450,6382,0,0,0,8,1092,0,0
41,470,29727,3073,0,0,41,97,0,.69314718
41,490,8245,0,0,0,22,1275,0,.69314718
41,510,,,,,,,,
41,530,,,,,,,,
41,550,,,,,,,,
41,570,9681,0,0,0,38,1100,0,.69314718
41,590,19610,0,0,1,27,772,0,0
41,610,,,,,,,,
41,630,31441,0,0,0,33,518,0,.69314718
41,650,,,,,,,,
41,670,9019,0,0,0,20,854,0,0
41,690,,,,,,,,
41,710,14088,0,0,0,19,2030,0,.4054651
41,730,8989,0,0,0,14,741,0,0
41,770,17172,0,0,0,31,812,0,.4054651
41,790,15258,0,0,0,34,845,0,.69314718
41,810,,,,,,,,
41,830,16483,0,0,0,28,585,0,.78845733
41,850,21915,0,0,0,18,121,0,0
41,870,26898,0,0,0,16,58,0,.69314718
41,890,26427,2863,0,0,30,1139,31,0
41,910,27831,0,0,0,21,47,0,0
41,930,7833,0,0,0,3,949,0,0
41,950,8846,0,0,0,20,969,0,0
41,970,27600,20515,0,1,34,29,0,1.0986123
41,990,12013,0,0,0,8,277,0,0
41,1010,29711,8728,0,0,16,608,1,0
,,,,,,,,,
41,1050,22285,0,0,1,26,229,0,0
41,1070,21512,0,0,0,34,699,0,.4054651
41,1090,15920,0,0,0,24,1674,0,.18232156
41,1110,11581,0,0,0,60,777,0,.91629076
41,1130,19548,0,0,0,25,75,0,.69314718
41,1150,6829,0,0,0,12,898,0,0
41,1170,9536,0,0,0,24,380,0,0
41,1190,22250,0,0,0,19,158,0,0
41,1210,18624,0,0,0,29,595,0,.53062826
41,1230,15584,0,0,0,6,1441,0,0
41,1250,18056,0,0,1,16,1136,0,.69314718
41,1270,5124,0,0,0,2,134,0,0
41,1290,2713,0,0,0,6,125,0,0
41,1310,17352,0,0,0,6,3,0,.28768209
,,,,,,,,,
61,10,,,,,,,,
61,30,,,,,,,,
61,50,,,,,,,,
61,70,,,,,,,,
61,90,,,,,,,,
61,110,,,,,,,,
61,130,,,,,,,,
61,150,,,,,,,,
61,170,,,,,,,,
61,190,,,,,,,,
61,210,,,,,,,,
61,230,,,,,,,,
61,250,,,,,,,,
61,270,,,,,,,,
42,10,3245,0,0,0,7,176,0,.4054651
42,30,2058,0,0,0,5,46,0,1.0986123
42,50,,,,,,,,
42,70,3710,0,0,0,7,56,0,.69314718
42,90,,,,,,,,
42,110,3829,0,0,0,7,256,0,0
42,130,,,,,,,,
42,150,4614,0,0,0,23,471,0,0
42,170,5115,0,0,0,3,60,0,.69314718
42,190,4070,0,0,0,0,184,0,0
42,210,,,,,,,,
42,230,,,,,,,,
42,270,,,,,,,,
42,290,3583,0,0,0,0,281,0,0
42,310,,,,,,,,
42,330,7960,0,0,1,1,1051,0,1.0986123
42,350,2648,0,0,0,3,93,0,0
42,370,,,,,,,,
42,390,6877,0,0,0,7,307,0,0
42,410,2911,0,0,0,2,123,0,0
42,430,3276,0,0,0,8,230,0,0
42,450,,,,,,,,
42,470,3972,0,0,0,8,437,0,0
42,490,1819,0,0,0,0,321,0,0
42,510,,,,,,,,
42,530,,,,,,,,
42,550,2593,0,0,0,6,521,0,0
42,570,7672,0,0,0,9,382,0,.69314718
42,590,3609,0,0,0,1,526,0,0
42,610,,,,,,,,
42,630,7767,0,0,0,12,785,0,0
42,650,3213,0,0,0,8,448,0,0
42,670,3086,0,0,0,3,219,0,0
42,690,5834,0,0,0,10,315,0,.4054651
42,710,5227,0,0,0,0,549,0,0
42,730,5220,0,0,0,8,214,0,0
42,750,5274,0,0,0,14,761,0,0
42,770,,,,,,,,
42,790,,,,,,,,
42,810,,,,,,,,
42,830,,,,,,,,
42,850,,,,,,,,
42,870,4823,0,0,0,12,606,0,0
42,890,2308,0,0,0,6,356,0,0
42,910,,,,,,,,
42,930,2368,0,0,0,4,150,0,0
42,950,2049,0,0,0,,231,0,0
42,970,1958,0,0,0,5,265,0,0
42,990,,,,,,,,
42,1010,1758,0,0,0,4,374,0,0
42,1030,9591,0,0,0,3,76,0,0
42,1050,978,0,0,0,2,155,0,0
42,1070,6935,0,0,0,0,367,0,0
42,1090,1861,0,0,0,6,95,0,0
42,1110,2308,0,0,0,10,39,0,0
42,1130,1263,0,0,0,6,220,0,0
42,1150,4710,0,0,0,11,538,0,0
42,1170,2097,0,0,0,5,143,0,0
42,1190,5657,0,0,0,11,485,0,0
42,1210,3275,0,0,0,8,558,0,0
42,1230,4479,0,0,0,12,381,0,0
42,1250,3903,0,0,0,20,80,0,0
42,1270,3083,0,0,0,10,458,0,0
42,1290,1979,0,0,0,6,354,0,0
42,1310,,,,,,,,
42,1330,4240,0,0,0,12,112,0,0
42,1350,,,,,,,,
42,1370,,,,,,,,
42,1390,10298,0,0,0,0,282,0,.69314718
42,1410,2864,0,0,0,8,539,0,0
42,1430,9970,0,0,2,30,717,0,0
42,1450,2619,0,0,0,0,222,0,0
42,1470,,,,,,,,
42,1490,3341,0,0,0,10,320,0,0
71,10,,,,,,,,
71,30,,,,,,,,
71,50,,,,,,,,
71,70,3574,0,0,0,0,0,,0
